name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Sheltering Landscape",0,"Land",,"mh3","227",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Five-Color Domain: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",126473,false,false,"Erikas Perl"
"Bountiful Landscape",0,"Land",,"mh3","217",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",126453,false,false,"Mark Poole"
"Seething Landscape",0,"Land",,"mh3","225",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Five-Color Domain: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",126469,false,false,"Piotr Dura"
"Shattered Landscape",0,"Land",,"mh3","226",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",126471,false,false,"Erikas Perl"
"Deceptive Landscape",0,"Land",,"mh3","219",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",126457,false,false,"Erikas Perl"
"Dig Through Time",8,"Instant",U,"ktk","36",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler","",54316,false,false,"Ryan Yee"
"Chrome Host Seedshark",3,"Creature - Phyrexian Shark",U,"mom","51",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Payoff","",109916,false,false,"Donato Giancola"
"Ojer Axonil, Deepest Might",4,"Legendary Creature - God",R,"lci","158",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Damage: Enabler;Strict Damage: Payoff;Strict Dies: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Enabler","",118136,false,false,"Victor Adame Minguez"
"Vivi Ornitier",3,"Legendary Creature - Wizard",RU,"fin","248",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Damage: Enabler;Strict Noncreature: Payoff;Strict Ramp: Enabler","",141463,false,false,"Toni Infante"
"Jacked Rabbit",2,"Creature - Rabbit Warrior",W,"blc","9",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Power Matters: Payoff;Strict Tokens: Enabler","",128917,false,false,"Scott Murphy"
"Arachne, Psionic Weaver",3,"Legendary Creature - Spider Human Hero",W,"spm","2",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Humans: Enabler;Strict Taxes: Enabler","",153237,false,false,"Steve Argyle"
"Steam Vents",0,"Land - Island Mountain",,"gpt","164",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Five-Color Domain: Enabler","",23739,false,false,"Rob Alexander"
"Grim Monolith",2,"Artifact",,"ulg","126",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Noncreature: Enabler;Strict Ramp: Enabler","",12551,false,false,"Chippy"
"Lightstall Inquisitor",1,"Creature - Angel Wizard",W,"eoe","24",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff","",142661,false,false,"Arif Wijaya"
"Mycosynth Wellspring",2,"Artifact",,"nph","145",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Dies: Payoff;Strict Noncreature: Enabler","",39830,false,false,"David Rapoza"
"Skrelv, Defector Mite",1,"Legendary Artifact Creature - Phyrexian Mite",W,"one","33",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler","",106281,false,false,"Brian Valeza"
"Guide of Souls",1,"Creature - Human Cleric",W,"mh3","29",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Counters: Enabler;Strict Humans: Enabler;Strict Lifegain: Enabler","",126075,false,false,"Ryan Valle"
"Clarion Conqueror",3,"Creature - Dragon",W,"tdm","5",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",138953,false,false,"Nathaniel Himawan"
"Donatello, the Brains",3,"Legendary Creature - Mutant Ninja Turtle",U,"tmc","2",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Tokens: Payoff","",147333,false,false,"Jason Rainville"
"Godless Shrine",0,"Land - Plains Swamp",,"gpt","157",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Five-Color Domain: Enabler","",23755,false,false,"Rob Alexander"
"Oviya, Automech Artisan",4,"Legendary Creature - Human Artificer",G,"dft","173",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Humans: Enabler","",136469,false,false,"Julia Metzger"
"Cathar Commando",2,"Creature - Human Soldier",W,"mid","10",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Humans: Enabler","",92942,false,false,"Evyn Fong"
"Vial Smasher the Fierce",3,"Legendary Creature - Goblin Berserker",BR,"c16","49",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler","",-1,false,false,"Deruchenko Alexander"
"Animate Dead",2,"Enchantment - Aura",B,"lea","92",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Anson Maddocks"
"Dance of the Dead",2,"Enchantment - Aura",B,"ice","118",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Randy Gallegos"
"Refurbished Familiar",4,"Artifact Creature - Zombie Rat",B,"mh3","105",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Artifacts: Payoff;Strict Blink: Payoff;Strict Draw: Enabler","",126227,false,false,"Steve Ellis"
"Ancient Tomb",0,"Land",,"tmp","315",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",10043,false,false,"Colin MacNeil"
"Damn",2,"Sorcery",B,"mh2","80",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",90533,false,false,"Lucas Graciano"
"Fanatic of Rhonas",2,"Creature - Snake Druid",G,"mh3","152",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Power 4+: Payoff;Strict Ramp: Enabler","",126321,false,false,"Scott Murphy"
"Thief of Sanity",3,"Creature - Specter",BU,"grn","205",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Combat Damage: Enabler;Strict Opponent Cards: Enabler","",69783,false,false,"Igor Kieryluk"
"Overlord of the Floodpits",5,"Enchantment Creature - Avatar Horror",U,"dsk","68",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Blink: Payoff;Strict Discard: Enabler;Strict Draw: Enabler;Strict Enchantments: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Reanimator: Enabler","",130267,false,false,"Abz J Harding"
"Shiko, Paragon of the Way",5,"Legendary Creature - Spirit Dragon",RUW,"tdm","223",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",139411,false,false,"Victor Adame Minguez"
"Trumpeting Carnosaur",6,"Creature - Dinosaur",R,"lci","171",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff;Strict Damage: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",118166,false,false,"Lars Grant-West"
"Stock Up",3,"Sorcery",U,"dft","67",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler","",136257,false,false,"Izzy"
"Riptide Gearhulk",5,"Artifact Creature - Construct",UW,"dft","219",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Noncreature: Payoff","",136561,false,false,"Artur Nakhodkin"
"Agate Instigator",2,"Creature - Lizard Rogue",R,"blc","21",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Damage: Enabler","",128941,false,false,"Quintin Gleim"
"Emperor of Bones",2,"Creature - Skeleton Noble",B,"mh3","90",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler","",126197,false,false,"Josh Hass"
"Crabomination",6,"Creature - Crab Demon",B,"mh3","85",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Opponent Cards: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",126187,false,false,"Nicholas Gregory"
"Serra Paragon",4,"Creature - Angel",W,"dmu","32",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Dies: Payoff;Strict Graveyard Cast: Payoff;Strict Lifegain: Enabler","",102540,false,false,"Heonhwa"
"H.E.R.B.I.E., Lovable Robot",2,"Legendary Artifact Creature - Robot Scout",,"msc","106",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Five-Color Domain: Glue;Strict Noncreature: Payoff;Strict Ramp: Enabler","",150651,false,false,"Nanna Marie Steffensen"
"Complicate",3,"Instant",U,"ons","76",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Noncreature: Enabler;Strict Reanimator: Enabler","",17849,false,false,"Scott M. Fischer"
"Chrome Mox",0,"Artifact",,"mrd","152",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Noncreature: Enabler;Strict Ramp: Enabler","",19831,false,false,"Donato Giancola"
"Ghalta, Primal Hunger",12,"Legendary Creature - Elder Dinosaur",G,"rix","130",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Power Matters: Payoff","",66713,false,false,"Chase Stone"
"Old One Eye",6,"Legendary Creature - Tyranid",G,"40k","96",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue;Strict Reanimator: Enabler;Strict Tokens: Enabler","",108664,false,false,"Mathias Kollros"
"The Great Henge",9,"Legendary Artifact",G,"eld","161",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Counters: Enabler;Strict Draw: Enabler;Strict Lifegain: Enabler;Strict Noncreature: Enabler;Strict Power Matters: Payoff;Strict Ramp: Enabler","",78460,false,false,"Adam Paquette"
"Elder Gargaroth",5,"Creature - Beast",G,"m21","179",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Draw: Enabler;Strict Lifegain: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Tokens: Enabler","",81585,false,false,"Nicholas Gregory"
"Evolution Witness",3,"Creature - Elf Shaman Mutant",G,"mh3","151",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler","",126319,false,false,"Nereida"
"Wall of Blossoms",2,"Creature - Plant Wall",G,"sth","125",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler","",10433,false,false,"Heather Hudson"
"Ursine Monstrosity",3,"Creature - Bear Mutant",G,"dsc","36",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",131393,false,false,"Carlos Palma Cruchaga"
"Shigeki, Jukai Visionary",2,"Legendary Enchantment Creature - Snake Druid",G,"neo","206",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Enchantments: Enabler;Strict Landfall: Enabler","",97354,false,false,"Anna Podedworna"
"Utopia Sprawl",1,"Enchantment - Aura",G,"dis","99",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Enchantments: Enabler;Strict Noncreature: Enabler","",24297,false,false,"Ron Spears"
"Mox Diamond",0,"Artifact",,"sth","138",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Five-Color Domain: Glue;Strict Noncreature: Enabler;Strict Ramp: Enabler","",10325,false,false,"Dan Frazier"
"Sire of Seven Deaths",7,"Creature - Eldrazi",,"fdn","1",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Lifegain: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue","",133570,false,false,"Lius Lasahido"
"Deep-Cavern Bat",2,"Creature - Bat",B,"lci","102",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Lifegain: Enabler","",118008,false,false,"Campbell White"
"Grave Researcher",3,"Creature - Troll Warlock",B,"sos","85",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Reanimator: Payoff","",149669,false,false,"Izzy"
"Cloak and Dagger",2,"Kindred Artifact - Rogue Equipment",,"mor","141",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Equipment: Enabler;Strict Noncreature: Enabler","",29022,false,false,"Daren Bader"
"Yarok, the Desecrated",5,"Legendary Creature - Elemental Horror",BGU,"m20","220",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Lifegain: Enabler","",73339,false,false,"Daarken"
"All-Fates Stalker",4,"Creature - Drix Assassin",W,"eoe","3",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff","",142619,false,false,"Lius Lasahido"
"Sokenzan Smelter",2,"Creature - Goblin Artificer",R,"neo","164",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Payoff;Strict Tokens: Enabler","",97262,false,false,"Svetlin Velinov"
"Trygon Predator",3,"Creature - Beast",GU,"dis","133",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Combat Damage: Enabler","",24071,false,false,"Carl Critchlow"
"Dubious Delicacy",3,"Artifact - Food",B,"eoe","96",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Lifegain: Enabler;Strict Noncreature: Enabler","",142805,false,false,"Tianxing Xu"
"Agonasaur Rex",5,"Creature - Dinosaur",G,"dft","151",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Reanimator: Enabler","",136425,false,false,"Lucas Graciano"
"Blightsteel Colossus",12,"Artifact Creature - Phyrexian Golem",,"mbs","99",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Payoff","",39587,false,false,"Chris Rahn"
"Chaos Defiler",5,"Artifact Creature - Demon Construct",BR,"40k","110",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Dies: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",108692,false,false,"Games Workshop"
"Astrologian's Planisphere",2,"Artifact - Equipment",U,"fin","46",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Counters: Enabler;Strict Equipment: Enabler;Strict Noncreature: Enabler;Strict Noncreature: Payoff","",141017,false,false,"Josephine Chang"
"Temporal Mastery",7,"Sorcery",U,"avr","81",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler","",44047,false,false,"Franz Vohwinkel"
"Fanatical Offering",2,"Instant",B,"lci","105",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Dies: Enabler;Strict Draw: Enabler;Strict Noncreature: Enabler;Strict Sacrifice: Enabler;Strict Tokens: Enabler","",118014,false,false,"Raluca Marinescu"
"Brago, King Eternal",4,"Legendary Creature - Spirit Noble",UW,"cns","41",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Enabler;Strict Combat Damage: Enabler","",-1,false,false,"Karla Ortiz"
"Urban Retreat",0,"Land",,"spm","187",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction","",153617,false,false,"Jonas De Ro"
"Arthur, Marigold Knight",5,"Legendary Creature - Mouse Knight",RUW,"blc","5",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Attack: Glue;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",128983,false,false,"Steven Belledin"
"Lumbering Worldwagon",3,"Artifact - Vehicle",G,"dft","168",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Attack: Enabler;Strict Blink: Payoff;Strict Five-Color Domain: Enabler;Strict Landfall: Enabler;Strict Noncreature: Enabler;Strict Ramp: Enabler","",136459,false,false,"Raph Lomotan"
"Hildibrand Manderville",2,"Legendary Creature - Human Detective",W,"fic","83",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Dies: Payoff;Strict Graveyard Cast: Payoff;Strict Humans: Enabler;Strict Tokens: Enabler;Strict Tokens: Payoff","",140157,false,false,"AKAGI"
"Chandra's Ignition",5,"Sorcery",R,"ori","137",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",57988,false,false,"Eric Deschamps"
"Web Up",3,"Enchantment",W,"spm","21",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",153277,false,false,"David Palumbo"
"Quantum Riddler",5,"Creature - Sphinx",U,"eoe","72",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",142757,false,false,"Izzy"
"Stomping Ground",0,"Land - Mountain Forest",,"gpt","165",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Five-Color Domain: Enabler","",23709,false,false,"Rob Alexander"
"Rust Harvester",1,"Artifact Creature - Robot",R,"eoe","159",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Counters: Enabler;Strict Damage: Enabler;Strict Power Matters: Payoff","",142931,false,false,"Jake Murray"
"Guardian of Faith",3,"Creature - Spirit Knight",W,"afr","18",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff","",91538,false,false,"Brian Valeza"
"Sword of Fire and Ice",3,"Artifact - Equipment",,"dst","148",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Artifacts: Enabler;Strict Combat Damage: Enabler;Strict Damage: Enabler;Strict Draw: Enabler;Strict Equipment: Enabler;Strict Noncreature: Enabler","",20535,false,false,"Mark Zug"
"Roxanne, Starfall Savant",5,"Legendary Creature - Cat Druid",GR,"otj","228",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Artifacts: Enabler;Strict Artifacts: Payoff;Strict Attack: Enabler;Strict Blink: Payoff;Strict Damage: Enabler;Strict Five-Color Domain: Glue;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Enabler;Strict Tokens: Enabler","",124367,false,false,"Ina Wong"
"Crude Bent Blade",3,"Artifact - Equipment",B,"hob","63",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Equipment: Enabler;Strict Noncreature: Enabler","",154052,false,false,"Russell Dongjun Lu"
"Old Gnawbone",7,"Legendary Creature - Dragon",G,"afr","197",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Combat Damage: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue;Strict Tokens: Enabler","",91896,false,false,"Filip Burburan"
"Sanguine Evangelist",3,"Creature - Vampire Cleric",W,"lci","34",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Dies: Payoff;Strict Tokens: Enabler","",117850,false,false,"Zezhou Chen"
"Invert Polarity",3,"Instant",RU,"mh3","190",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",126397,false,false,"Leonardo Santanna"
"Airbender Ascension",2,"Enchantment",W,"tla","6",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Enabler;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",144488,false,false,"Shiren"
"The Gitrog, Ravenous Ride",5,"Legendary Creature - Frog Horror Mount",BG,"otj","206",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Combat Damage: Enabler;Strict Dies: Enabler;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Landfall: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Reanimator: Enabler;Strict Sacrifice: Enabler","",124323,false,false,"Johan Grenier"
"Sandstorm Salvager",3,"Creature - Human Artificer",G,"big","19",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Counters: Enabler;Strict Humans: Enabler;Strict Tokens: Enabler","",125399,false,false,"Francis Tneh"
"Collector Ouphe",2,"Creature - Ouphe",G,"mh1","158",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",72688,false,false,"Filip Burburan"
"Sandsteppe Citadel",0,"Land",,"ktk","241",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",54160,false,false,"Sam Burley"
"Frontier Bivouac",0,"Land",,"ktk","234",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",54168,false,false,"Titus Lunter"
"Thieving Skydiver",2,"Creature - Merfolk Rogue",U,"znr","85",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Theft: Enabler","",83127,false,false,"Kieran Yanner"
"Queen Marchesa",4,"Legendary Creature - Human Assassin",BRW,"cn2","78",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Humans: Enabler;Strict Tokens: Enabler","",-1,false,false,"Kieran Yanner"
"Jaws, Relentless Predator",5,"Legendary Creature - Shark",R,"sld","2175",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Artifacts: Payoff;Strict Combat Damage: Enabler;Strict Damage: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Sacrifice: Payoff;Strict Tokens: Enabler","",-1,false,false,"Stephen Andrade"
"Urza, Lord High Artificer",4,"Legendary Creature - Human Artificer",U,"mh1","75",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Payoff;Strict Blink: Payoff;Strict Humans: Enabler;Strict Ramp: Enabler;Strict Tokens: Enabler","",72522,false,false,"Grzegorz Rutkowski"
"Railway Brawler",5,"Creature - Rhino Warrior",G,"otj","175",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Counters: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Power Matters: Payoff","",124261,false,false,"Kevin Sidharta"
"Invigorate",3,"Instant",G,"mmq","254",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler","",13231,false,false,"Dan Frazier"
"Collector's Cage",2,"Artifact",W,"big","1",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Counters: Enabler;Strict Noncreature: Enabler","",125363,false,false,"Bartek Fedyczak"
"Questing Beast",4,"Legendary Creature - Beast",G,"eld","171",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Combat Damage: Enabler;Strict Damage: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",78482,false,false,"Igor Kieryluk"
"Court of Garenbrig",3,"Enchantment",G,"woc","25",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Counters: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",117328,false,false,"Sam Guay"
"Bloom Tender",2,"Creature - Elf Druid",G,"eve","66",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Ramp: Enabler","",30260,false,false,"Chippy"
"Olivia, Crimson Bride",6,"Legendary Creature - Vampire Noble",BR,"vow","245",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Ramp: Glue;Strict Reanimator: Payoff","",94866,false,false,"Anna Steinbauer"
"Bone Shards",1,"Sorcery",B,"mh2","76",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Dies: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Noncreature: Enabler;Strict Reanimator: Enabler;Strict Sacrifice: Enabler","",90525,false,false,"Tommy Arnold"
"Chain Lightning",1,"Sorcery",R,"leg","137",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Sandra Everingham"
"Glissa Sunslayer",3,"Legendary Creature - Phyrexian Zombie Elf",BG,"one","202",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Combat Damage: Enabler;Strict Draw: Enabler","",106619,false,false,"Krharts"
"Silent Hallcreeper",2,"Enchantment Creature - Horror",U,"dsk","72",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Combat Damage: Enabler;Strict Counters: Enabler;Strict Draw: Enabler;Strict Enchantments: Enabler","",130275,false,false,"Joshua Raphael"
"Savai Triome",0,"Land - Mountain Plains Swamp",,"iko","253",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Five-Color Domain: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",80515,false,false,"Titus Lunter"
"Raugrin Triome",0,"Land - Island Mountain Plains",,"iko","251",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Five-Color Domain: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",80511,false,false,"Jonas De Ro"
"Lightning, Army of One",3,"Legendary Creature - Human Soldier",RW,"fin","233",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Combat Damage: Enabler;Strict Damage: Glue;Strict Humans: Enabler;Strict Lifegain: Enabler","",141427,false,false,"Shiyu"
